STATE,COUNTY,POPESTIMATE2017
21,69,14446
21,71,36271
21,73,50485
21,75,6192
21,77,8776
21,79,17523
21,81,24984
21,83,37121
21,85,26358
21,87,11065
21,89,35518
21,91,8801
21,93,108071
21,95,26713
21,97,18781
21,99,18757
21,101,45928
21,103,16006
21,105,4520
21,107,45547
21,109,13431
21,111,771158
21,113,53375
21,115,22594
21,117,165399
21,119,15291
21,121,31227
21,123,14205
21,125,60174
21,127,15719
21,129,6570
21,131,10334
21,133,22339
21,135,13339
21,137,24456
21,139,9269
21,141,27060
21,143,8082
21,145,65385
21,147,17465
21,149,9201
21,151,91226
21,153,12538
21,155,19395
21,157,31382
21,159,11452
21,161,17174
21,163,28154
21,165,6455
21,167,21521
21,169,10107
21,171,10659
21,173,27928
21,175,13188
21,177,30816
21,179,45640
21,181,7130
21,183,24182
21,185,66415
21,187,10765
21,189,4435
21,191,14573
21,193,26553
21,195,58883
21,197,12374
21,199,64449
21,201,2134
21,203,16698
21,205,24517
21,207,17775
21,209,54873
21,211,47421
21,213,18108
21,215,18507
21,217,25472
21,219,12243
21,221,14444
21,223,8561
21,225,14668
21,227,128845
21,229,12126
21,231,20716
21,233,13018
21,235,36214
21,237,7264
21,239,26368
22,1,62590
22,3,25621
22,5,122948
22,7,22526
22,9,40980
22,11,36928
22,13,13638
22,15,127634
22,17,246581
22,19,202445
22,21,9950
22,23,6912
22,25,9875
22,27,15969
22,29,19866
22,31,27340
22,33,446268
22,35,7126
22,37,19412
22,39,33708
22,41,20260
22,43,22336
22,45,72176
22,47,33027
22,49,15846
22,51,439036
22,53,31477
22,55,242485
22,57,98426
22,59,14933
22,61,47744
22,63,138228
22,65,11316
22,67,25641
22,69,39021
22,71,393292
22,73,155874
22,75,23348
22,77,22268
22,79,131648
22,81,8536
22,83,20411
22,85,24018
22,87,46202
22,89,52749
22,91,10363
22,93,21367
22,95,43441
22,97,83497
22,99,54171
22,101,50973
22,103,256327
22,105,132497
22,107,4615
22,109,112086
22,111,22571
22,113,60136
22,115,50726
22,117,46633
22,119,39378
22,121,26265
22,123,10981
22,125,15380
22,127,14311
23,1,107651
23,3,67653
23,5,292500
23,7,29988
23,9,54497
23,11,121821
23,13,39790
23,15,34204
23,17,57439
23,19,151957
23,21,16773
23,23,35392
23,25,50626
23,27,39832
23,29,31593
23,31,204191
24,1,71615
24,3,573235
24,5,832468
24,9,91502
24,11,33193
24,13,167781
24,15,102746
24,17,159700
24,19,32162
24,21,252022
24,23,29233
24,25,252160
24,27,321113
24,29,19384
24,31,1058810
24,33,912756
24,35,49770
24,37,112667
24,39,25918
24,41,37103
24,43,150578
24,45,102923
24,47,51690
24,510,611648
25,1,213444
25,3,126313
25,5,561483
25,7,17325
25,9,785205
25,11,70702
25,13,469818
25,15,161834
25,17,1602947
25,19,11229
25,21,700322
25,23,515142
25,25,797939
25,27,826116
26,1,10351
26,3,9121
26,5,116447
26,7,28462
26,9,23292
26,11,15045
26,13,8441
26,15,60586
26,17,104239
26,19,17573
26,21,154259
26,23,43410
26,25,134128
26,27,51381
26,29,26139
26,31,25369
26,33,37711
26,35,30653
26,37,78443
26,39,13907
26,41,35965
26,43,25415
26,45,109027
26,47,33193
26,49,407385
26,51,25234
26,53,15342
26,55,91807
26,57,41018
26,59,45879
26,61,36305
26,63,31280
26,65,290186
26,67,64291
26,69,25162
26,71,11124
26,73,71063
26,75,158640
26,77,262985
26,79,17634
